               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.10292,            0.059465,            0.022744,             0.61393,                 0.5,             0.24147,            0.090899,            0.097842,            0.057288,            0.024387,            0.066317,            0.002317,            0.002317
                  37,            0.097301,            0.053088,            0.019916,             0.61393,                 0.5,             0.24147,            0.090899,            0.097842,            0.057288,            0.024387,            0.065345,           0.0023447,           0.0023447
                  38,            0.094023,            0.050024,            0.021286,           0.0080075,             0.58757,             0.12097,            0.029839,             0.10359,            0.055719,             0.02337,             0.06437,           0.0023704,           0.0023704
                  39,            0.098004,            0.048963,            0.020744,           0.0080075,             0.58757,             0.12097,            0.029839,             0.10359,            0.055719,             0.02337,            0.063394,           0.0023942,           0.0023942
                  40,            0.096553,            0.048429,            0.021344,              0.2727,             0.27455,            0.027784,           0.0053893,              0.1026,            0.056964,            0.022766,            0.062416,            0.002416,            0.002416
                  41,             0.10269,            0.052442,             0.02091,              0.2727,             0.27455,            0.027784,           0.0053893,              0.1026,            0.056964,            0.022766,            0.061436,           0.0024358,           0.0024358
                  42,               0.102,            0.069991,            0.021408,             0.79848,             0.35519,             0.29634,             0.11117,            0.093966,            0.056556,            0.020852,            0.060454,           0.0024536,           0.0024536
                  43,            0.091885,            0.052571,            0.019868,             0.79848,             0.35519,             0.29634,             0.11117,            0.093966,            0.056556,            0.020852,            0.059469,           0.0024695,           0.0024695
                  44,             0.09469,             0.05882,            0.019539,             0.41383,             0.19249,             0.18089,            0.030332,             0.10004,            0.054229,            0.019875,            0.058483,           0.0024834,           0.0024834
                  45,            0.094547,             0.04695,            0.021293,             0.41383,             0.19249,             0.18089,            0.030332,             0.10004,            0.054229,            0.019875,            0.057495,           0.0024953,           0.0024953
                  46,            0.095481,            0.047748,            0.017642,             0.34193,             0.17538,            0.082348,            0.015171,             0.09895,             0.05634,            0.018319,            0.056505,           0.0025052,           0.0025052
                  47,             0.10087,            0.055046,            0.017145,             0.34193,             0.17538,            0.082348,            0.015171,             0.09895,             0.05634,            0.018319,            0.055513,           0.0025131,           0.0025131
                  48,            0.099287,            0.048411,            0.017663,             0.47303,             0.29683,              0.3061,             0.10783,            0.090559,            0.054619,            0.015655,            0.054519,            0.002519,            0.002519
                  49,            0.090243,            0.049594,            0.019304,             0.47303,             0.29683,              0.3061,             0.10783,            0.090559,            0.054619,            0.015655,            0.053523,            0.002523,            0.002523
                  50,            0.088124,            0.056655,            0.017028,             0.31257,             0.30049,            0.055393,            0.015379,             0.10581,            0.053174,            0.015314,            0.052525,            0.002525,            0.002525
                  51,            0.098669,            0.051846,            0.017001,             0.31257,             0.30049,            0.055393,            0.015379,             0.10581,            0.053174,            0.015314,            0.051525,            0.002525,            0.002525
                  52,            0.097089,            0.042687,            0.019105,             0.48482,             0.33735,             0.26322,            0.074895,             0.09096,            0.054547,            0.015305,            0.050523,            0.002523,            0.002523
                  53,            0.084732,            0.047278,            0.015511,             0.48482,             0.33735,             0.26322,            0.074895,             0.09096,            0.054547,            0.015305,            0.049519,           0.0025191,           0.0025191
                  54,            0.088674,            0.045607,            0.017443,             0.34096,             0.28704,            0.078813,            0.044244,             0.10069,             0.05358,            0.016329,            0.048513,           0.0025132,           0.0025132
                  55,            0.093373,            0.045511,             0.01441,             0.34096,             0.28704,            0.078813,            0.044244,             0.10069,             0.05358,            0.016329,            0.047505,           0.0025053,           0.0025053
                  56,            0.096044,            0.054091,            0.016896,             0.62683,              0.5619,             0.40752,             0.14428,            0.085964,            0.051199,            0.012311,            0.046495,           0.0024954,           0.0024954
                  57,            0.086327,             0.05026,             0.01565,             0.62683,              0.5619,             0.40752,             0.14428,            0.085964,            0.051199,            0.012311,            0.045483,           0.0024835,           0.0024835
                  58,            0.086108,             0.04832,             0.01515,             0.64881,             0.36296,             0.22145,            0.070404,            0.091736,            0.051023,            0.011861,             0.04447,           0.0024696,           0.0024696
                  59,            0.086204,            0.047588,            0.015231,             0.64881,             0.36296,             0.22145,            0.070404,            0.091736,            0.051023,            0.011861,            0.043454,           0.0024538,           0.0024538
