               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.074553,            0.045783,            0.025872,           0.0065347,                0.98,             0.24237,            0.067329,            0.067873,            0.043659,            0.025465,            0.065345,           0.0023447,           0.0023447
                  38,            0.074423,            0.043254,            0.025676,           0.0065328,                0.98,             0.12621,            0.027635,            0.082239,            0.039721,            0.025569,             0.06437,           0.0023704,           0.0023704
                  39,            0.074832,            0.043052,            0.025793,           0.0065328,                0.98,             0.12621,            0.027635,            0.082239,            0.039721,            0.025569,            0.063394,           0.0023942,           0.0023942
                  40,            0.073477,            0.043107,            0.026208,             0.13692,                0.92,             0.33233,            0.093302,            0.064024,            0.042963,            0.025549,            0.062416,            0.002416,            0.002416
                  41,            0.074216,            0.040004,            0.025817,             0.13692,                0.92,             0.33233,            0.093302,            0.064024,            0.042963,            0.025549,            0.061436,           0.0024358,           0.0024358
                  42,            0.067369,            0.040771,            0.025922,             0.27725,                0.12,              0.2922,             0.08225,            0.076223,            0.038938,            0.025561,            0.060454,           0.0024536,           0.0024536
                  43,             0.07046,            0.045065,            0.025617,             0.27725,                0.12,              0.2922,             0.08225,            0.076223,            0.038938,            0.025561,            0.059469,           0.0024695,           0.0024695
                  44,            0.067365,            0.043008,            0.025821,             0.45525,                0.36,             0.41311,             0.12343,            0.060901,            0.040884,             0.02555,            0.058483,           0.0024834,           0.0024834
                  45,            0.073522,            0.039504,             0.02585,             0.45525,                0.36,             0.41311,             0.12343,            0.060901,            0.040884,             0.02555,            0.057495,           0.0024953,           0.0024953
                  46,            0.065987,            0.038998,            0.025657,             0.45784,             0.43507,             0.46178,             0.15123,            0.070555,            0.037805,            0.025521,            0.056505,           0.0025052,           0.0025052
